Date,Open,High,Low,Close,Adj. Close,Volume
"Sep 21, 2020",45.3,45.3,42.5,42.85,41.6,23382228
"Sep 22, 2020",42.65,42.95,40.85,42.3,41.06,26901699
"Sep 23, 2020",42.7,42.8,40.85,41.55,40.34,23937482
"Sep 24, 2020",40.75,41.2,39.65,39.85,38.69,21988800
"Sep 25, 2020",40.2,41.85,39.5,41.55,40.34,21522463
"Sep 28, 2020",42.1,43.45,41.65,43.35,42.08,21360150
"Sep 29, 2020",43.4,43.6,40.7,41.35,40.14,31387359
"Sep 30, 2020",41.65,41.65,40.3,41.05,39.85,32130906
"Oct 01, 2020",41.35,42.6,41.35,41.95,40.72,21969216
"Oct 05, 2020",42.1,42.8,41.4,41.55,40.34,21946326
"Oct 06, 2020",41.8,42.25,40.8,42.05,40.82,29879095
"Oct 07, 2020",42,42.25,41.3,41.5,40.29,13207267
"Oct 08, 2020",41.85,43.45,41.6,42.6,41.35,29261197
"Oct 09, 2020",42.5,44.45,41.95,44.3,43.01,27476445
"Oct 12, 2020",44.4,45.55,41.2,41.8,40.58,36830839
"Oct 13, 2020",41.8,42.15,41.2,41.3,40.09,19646627
"Oct 14, 2020",41.5,42.25,40.35,42.05,40.82,17707153
"Oct 15, 2020",41.9,42.75,40,40.35,39.17,22010503
"Oct 16, 2020",40.7,41.1,39.9,40.3,39.12,18306969
"Oct 19, 2020",41,43.85,40.55,43.6,42.33,43030607
"Oct 20, 2020",43.05,43.25,41.45,41.85,40.63,38021799
"Oct 21, 2020",42.2,43.3,41.65,42.55,41.31,30554283
"Oct 22, 2020",42.4,43.2,41.85,42.85,41.6,27573786
"Oct 23, 2020",42.9,43.65,42.8,43.15,41.89,27661343
"Oct 26, 2020",43.05,43.75,42.55,42.7,41.45,33556100
"Oct 27, 2020",42.7,43.1,41.5,42.9,41.65,21932525
"Oct 28, 2020",42.8,43.2,41.65,42,40.77,20409998
"Oct 29, 2020",41.75,43.45,41.05,42.95,41.69,37137960
"Oct 30, 2020",43.25,43.45,41.35,41.7,40.48,45661090
"Nov 02, 2020",42.1,45.25,41.85,44.85,43.54,61695399
